[Running] Dina-XORs.Program1.v
Clock: 0 | A: 0 | B: 0 | x: 0 | y: 0 | Next A: 0 | Next B: 0 | z: 0
Clock: 1 | A: 0 | B: 0 | x: 0 | y: 1 | Next A: 0 | Next B: 0 | z: 0
Clock: 0 | A: 0 | B: 0 | x: 1 | y: 0 | Next A: 1 | Next B: 1 | z: 0
Clock: 1 | A: 0 | B: 0 | x: 1 | y: 1 | Next A: 0 | Next B: 1 | z: 0
Clock: 0 | A: 0 | B: 1 | x: 0 | y: 0 | Next A: 0 | Next B: 0 | z: 0
Clock: 1 | A: 0 | B: 1 | x: 0 | y: 1 | Next A: 0 | Next B: 0 | z: 0
Clock: 0 | A: 0 | B: 1 | x: 1 | y: 0 | Next A: 1 | Next B: 0 | z: 0
Clock: 1 | A: 0 | B: 1 | x: 1 | y: 1 | Next A: 1 | Next B: 0 | z: 0
Clock: 0 | A: 1 | B: 0 | x: 0 | y: 0 | Next A: 0 | Next B: 0 | z: 1
Clock: 1 | A: 1 | B: 0 | x: 0 | y: 1 | Next A: 0 | Next B: 0 | z: 1
Clock: 0 | A: 1 | B: 0 | x: 1 | y: 0 | Next A: 1 | Next B: 1 | z: 1
Clock: 1 | A: 1 | B: 0 | x: 1 | y: 1 | Next A: 0 | Next B: 1 | z: 1
Clock: 0 | A: 1 | B: 1 | x: 0 | y: 0 | Next A: 0 | Next B: 0 | z: 1
Clock: 1 | A: 1 | B: 1 | x: 0 | y: 1 | Next A: 0 | Next B: 0 | z: 1
Clock: 0 | A: 1 | B: 1 | x: 1 | y: 0 | Next A: 1 | Next B: 1 | z: 1
Clock: 1 | A: 1 | B: 1 | x: 1 | y: 1 | Next A: 1 | Next B: 1 | z: 1
